locus_tag	ftype	length_bp	gene	EC_number	COG	product
Shinsuense_03085	gene	1494				
Shinsuense_03085	CDS	1494		1.2.1.3		Putative aldehyde dehydrogenase
Shinsuense_03086	gene	318				
Shinsuense_03086	CDS	318				hypothetical protein
Shinsuense_03087	gene	1905				
Shinsuense_03087	CDS	1905				hypothetical protein
Shinsuense_03088	gene	651				
Shinsuense_03088	CDS	651				hypothetical protein
Shinsuense_03089	gene	207				
Shinsuense_03089	CDS	207				hypothetical protein
Shinsuense_03090	gene	168				
Shinsuense_03090	CDS	168				hypothetical protein
Shinsuense_03091	gene	1866				
Shinsuense_03091	CDS	1866				putative PPE family protein PPE40
Shinsuense_03092	gene	1149	fadA_3			
Shinsuense_03092	CDS	1149	fadA_3	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
Shinsuense_03093	gene	723	caiD_4			
Shinsuense_03093	CDS	723	caiD_4	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
Shinsuense_03094	gene	189				
Shinsuense_03094	CDS	189				hypothetical protein
Shinsuense_03095	gene	462				
Shinsuense_03095	CDS	462				hypothetical protein
Shinsuense_03096	gene	666				
Shinsuense_03096	CDS	666				hypothetical protein
Shinsuense_03097	gene	2472				
Shinsuense_03097	CDS	2472				hypothetical protein
Shinsuense_03098	gene	1044				
Shinsuense_03098	CDS	1044				hypothetical protein
Shinsuense_03099	gene	1017				
Shinsuense_03099	CDS	1017				hypothetical protein
Shinsuense_03100	gene	510				
Shinsuense_03100	CDS	510				hypothetical protein
Shinsuense_03101	gene	1134				
Shinsuense_03101	CDS	1134		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
Shinsuense_03102	gene	1149				
Shinsuense_03102	CDS	1149				hypothetical protein
Shinsuense_03103	gene	720				
Shinsuense_03103	CDS	720				hypothetical protein
Shinsuense_03104	gene	1392				
Shinsuense_03104	CDS	1392				hypothetical protein
Shinsuense_03105	gene	804	paaG_2			
Shinsuense_03105	CDS	804	paaG_2	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
Shinsuense_03106	gene	162				
Shinsuense_03106	CDS	162				hypothetical protein
Shinsuense_03107	gene	1098	uctC_2			
Shinsuense_03107	CDS	1098	uctC_2	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
Shinsuense_03108	gene	762				
Shinsuense_03108	CDS	762		1.-.-.-		putative oxidoreductase
Shinsuense_03109	gene	156				
Shinsuense_03109	CDS	156				hypothetical protein
Shinsuense_03110	gene	2343	mmpL3_3			
Shinsuense_03110	CDS	2343	mmpL3_3		COG2409	Trehalose monomycolate exporter MmpL3
Shinsuense_03111	gene	693				
Shinsuense_03111	CDS	693				hypothetical protein
Shinsuense_03112	gene	639				
Shinsuense_03112	CDS	639				hypothetical protein
Shinsuense_03113	gene	717	cobB_2			
Shinsuense_03113	CDS	717	cobB_2	2.3.1.286	COG0846	NAD-dependent protein deacylase
Shinsuense_03114	gene	366				
Shinsuense_03114	CDS	366				hypothetical protein
Shinsuense_03115	gene	273				
Shinsuense_03115	CDS	273				hypothetical protein
Shinsuense_03116	gene	576				
Shinsuense_03116	CDS	576				hypothetical protein
Shinsuense_03117	gene	516				
Shinsuense_03117	CDS	516				hypothetical protein
Shinsuense_03118	gene	444				
Shinsuense_03118	CDS	444		1.-.-.-		F420H(2)-dependent reductase
Shinsuense_03119	gene	189				
Shinsuense_03119	CDS	189				putative proteinA
Shinsuense_03120	gene	396				
Shinsuense_03120	CDS	396				hypothetical protein
Shinsuense_03121	gene	495				
Shinsuense_03121	CDS	495				hypothetical protein
Shinsuense_03122	gene	327				
Shinsuense_03122	CDS	327				hypothetical protein
Shinsuense_03123	gene	477				
Shinsuense_03123	CDS	477				hypothetical protein
Shinsuense_03124	gene	147				
Shinsuense_03124	CDS	147				hypothetical protein
Shinsuense_03125	gene	387				
Shinsuense_03125	CDS	387				hypothetical protein
Shinsuense_03126	gene	627				
Shinsuense_03126	CDS	627				hypothetical protein
Shinsuense_03127	gene	1269	pimE			
Shinsuense_03127	CDS	1269	pimE	2.4.1.-		Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase
Shinsuense_03128	gene	312				
Shinsuense_03128	CDS	312		4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
Shinsuense_03129	gene	579				
Shinsuense_03129	CDS	579				hypothetical protein
Shinsuense_03130	gene	1887	typA			
Shinsuense_03130	CDS	1887	typA		COG1217	GTP-binding protein TypA/BipA
Shinsuense_03131	gene	2004	lpqW			
Shinsuense_03131	CDS	2004	lpqW		COG0747	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW
Shinsuense_03132	gene	2202				
Shinsuense_03132	CDS	2202				hypothetical protein
Shinsuense_03133	gene	1131				
Shinsuense_03133	CDS	1131				hypothetical protein
Shinsuense_03134	gene	618				
Shinsuense_03134	CDS	618				putative HTH-type transcriptional regulator
Shinsuense_03135	gene	906	mshB			
Shinsuense_03135	CDS	906	mshB	3.5.1.103	COG2120	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase
Shinsuense_03136	gene	108				
Shinsuense_03136	CDS	108				hypothetical protein
Shinsuense_03137	gene	360				
Shinsuense_03137	CDS	360				hypothetical protein
Shinsuense_03138	gene	867				
Shinsuense_03138	CDS	867				hypothetical protein
Shinsuense_03139	gene	2688	fbiC			
Shinsuense_03139	CDS	2688	fbiC		COG1060	FO synthase
Shinsuense_03140	gene	309	lipY_3			
Shinsuense_03140	CDS	309	lipY_3	3.1.1.3		Triacylglycerol lipase
Shinsuense_03141	gene	2352				
Shinsuense_03141	CDS	2352				hypothetical protein
Shinsuense_03142	gene	333				
Shinsuense_03142	CDS	333				hypothetical protein
Shinsuense_03143	gene	2025	fadH			
Shinsuense_03143	CDS	2025	fadH	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
Shinsuense_03144	gene	744				
Shinsuense_03144	CDS	744				hypothetical protein
Shinsuense_03145	gene	327	fdxA_1			
Shinsuense_03145	CDS	327	fdxA_1		COG1146	Ferredoxin
Shinsuense_03146	gene	1098	alaC			
Shinsuense_03146	CDS	1098	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
Shinsuense_03147	gene	2673				
Shinsuense_03147	CDS	2673				hypothetical protein
Shinsuense_03148	gene	480	rox			
Shinsuense_03148	CDS	480	rox	1.14.13.-	COG0654	Rifampicin monooxygenase
Shinsuense_03149	gene	969	oxyS_1			
Shinsuense_03149	CDS	969	oxyS_1	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
Shinsuense_03150	gene	825				
Shinsuense_03150	CDS	825				hypothetical protein
Shinsuense_03151	gene	1215				
Shinsuense_03151	CDS	1215				hypothetical protein
Shinsuense_03152	gene	909				
Shinsuense_03152	CDS	909				hypothetical protein
Shinsuense_03153	gene	231				
Shinsuense_03153	CDS	231				hypothetical protein
Shinsuense_03154	gene	129				
Shinsuense_03154	CDS	129				hypothetical protein
Shinsuense_03155	gene	561	mfpA			
Shinsuense_03155	CDS	561	mfpA		COG1357	Pentapeptide repeat protein MfpA
Shinsuense_03156	gene	603				
Shinsuense_03156	CDS	603				hypothetical protein
Shinsuense_03157	gene	276				
Shinsuense_03157	CDS	276				hypothetical protein
Shinsuense_03158	gene	273				
Shinsuense_03158	CDS	273			COG2018	Serine protease inhibitor
Shinsuense_03159	gene	2736				
Shinsuense_03159	CDS	2736				hypothetical protein
Shinsuense_03160	gene	606				
Shinsuense_03160	CDS	606				hypothetical protein
Shinsuense_03161	gene	465	trmL			
Shinsuense_03161	CDS	465	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
Shinsuense_03162	gene	1815				
Shinsuense_03162	CDS	1815				hypothetical protein
Shinsuense_03163	gene	645				
Shinsuense_03163	CDS	645				hypothetical protein
Shinsuense_03164	gene	234				
Shinsuense_03164	CDS	234				hypothetical protein
Shinsuense_03165	gene	1452	narK_5			
Shinsuense_03165	CDS	1452	narK_5		COG2223	Nitrate/nitrite transporter NarK
Shinsuense_03166	gene	861				
Shinsuense_03166	CDS	861				hypothetical protein
Shinsuense_03167	gene	345				
Shinsuense_03167	CDS	345				hypothetical protein
Shinsuense_03168	gene	225				
Shinsuense_03168	CDS	225				hypothetical protein
Shinsuense_03169	gene	873				
Shinsuense_03169	CDS	873				hypothetical protein
Shinsuense_03170	gene	2526				
Shinsuense_03170	CDS	2526		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein
Shinsuense_03171	gene	855				
Shinsuense_03171	CDS	855				hypothetical protein
Shinsuense_03172	gene	1851				
Shinsuense_03172	CDS	1851		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein
Shinsuense_03173	gene	201				
Shinsuense_03173	CDS	201				hypothetical protein
Shinsuense_03174	gene	1194				
Shinsuense_03174	CDS	1194		1.16.1.-	COG0446	Metal reductase
Shinsuense_03175	gene	846	folD			
Shinsuense_03175	CDS	846	folD		COG0190	Bifunctional protein FolD protein
Shinsuense_03176	gene	294				
Shinsuense_03176	CDS	294				hypothetical protein
Shinsuense_03177	gene	417	lprJ_1			
Shinsuense_03177	CDS	417	lprJ_1			Putative lipoprotein LprJ
Shinsuense_03178	gene	1443	yvdP_2			
Shinsuense_03178	CDS	1443	yvdP_2	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
Shinsuense_03179	gene	9783	dltA_4			
Shinsuense_03179	CDS	9783	dltA_4	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
Shinsuense_03180	gene	297				
Shinsuense_03180	CDS	297				hypothetical protein
Shinsuense_03181	gene	429				
Shinsuense_03181	CDS	429				hypothetical protein
Shinsuense_03182	gene	738				
Shinsuense_03182	CDS	738		2.1.1.-	COG0500	putative methyltransferase
Shinsuense_03183	gene	1140	metXA			
Shinsuense_03183	CDS	1140	metXA	2.3.1.31	COG2021	Homoserine O-acetyltransferase
Shinsuense_03184	gene	1350	metY			
Shinsuense_03184	CDS	1350	metY	2.5.1.49	COG2873	O-acetyl-L-homoserine sulfhydrylase
Shinsuense_03185	gene	348	icd_2			
Shinsuense_03185	CDS	348	icd_2	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
Shinsuense_03186	gene	882	icd_3			
Shinsuense_03186	CDS	882	icd_3	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
Shinsuense_03187	gene	801				
Shinsuense_03187	CDS	801				hypothetical protein
Shinsuense_03188	gene	1020	trpS			
Shinsuense_03188	CDS	1020	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
Shinsuense_03189	gene	1074				
Shinsuense_03189	CDS	1074				hypothetical protein
Shinsuense_03190	gene	1167	nagA			
Shinsuense_03190	CDS	1167	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
Shinsuense_03191	gene	1350	galP			
Shinsuense_03191	CDS	1350	galP			Galactose-proton symporter
Shinsuense_03192	gene	1248				
Shinsuense_03192	CDS	1248				hypothetical protein
Shinsuense_03193	gene	639				
Shinsuense_03193	CDS	639				hypothetical protein
Shinsuense_03194	gene	2319				
Shinsuense_03194	CDS	2319				hypothetical protein
Shinsuense_03195	gene	216				
Shinsuense_03195	CDS	216				hypothetical protein
Shinsuense_03196	gene	402				
Shinsuense_03196	CDS	402				hypothetical protein
Shinsuense_03197	gene	744				
Shinsuense_03197	CDS	744				hypothetical protein
Shinsuense_03198	gene	222				
Shinsuense_03198	CDS	222				hypothetical protein
Shinsuense_03199	gene	225				
Shinsuense_03199	CDS	225				hypothetical protein
Shinsuense_03200	gene	99				
Shinsuense_03200	CDS	99				hypothetical protein
Shinsuense_03201	gene	963	sigJ_3			
Shinsuense_03201	CDS	963	sigJ_3			ECF RNA polymerase sigma factor SigJ
Shinsuense_03202	gene	285				
Shinsuense_03202	CDS	285				hypothetical protein
Shinsuense_03203	gene	249				
Shinsuense_03203	CDS	249				hypothetical protein
Shinsuense_03204	gene	312				
Shinsuense_03204	CDS	312				hypothetical protein
Shinsuense_03205	gene	261				
Shinsuense_03205	CDS	261				hypothetical protein
Shinsuense_03206	gene	600				
Shinsuense_03206	CDS	600				hypothetical protein
Shinsuense_03207	gene	444				
Shinsuense_03207	CDS	444				hypothetical protein
Shinsuense_03208	gene	3483				
Shinsuense_03208	CDS	3483				hypothetical protein
Shinsuense_03209	gene	813				
Shinsuense_03209	CDS	813				hypothetical protein
Shinsuense_03210	gene	1755	sdhA_2			
Shinsuense_03210	CDS	1755	sdhA_2	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
Shinsuense_03211	gene	468				
Shinsuense_03211	CDS	468				hypothetical protein
Shinsuense_03212	gene	339	sdhC			
Shinsuense_03212	CDS	339	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
Shinsuense_03213	gene	399	cdd			
Shinsuense_03213	CDS	399	cdd	3.5.4.5	COG0295	Cytidine deaminase
Shinsuense_03214	gene	1302	deoA			
Shinsuense_03214	CDS	1302	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
Shinsuense_03215	gene	1089	add			
Shinsuense_03215	CDS	1089	add	3.5.4.4	COG1816	Adenosine deaminase
Shinsuense_03216	gene	1071				
Shinsuense_03216	CDS	1071				hypothetical protein
Shinsuense_03217	gene	684				
Shinsuense_03217	CDS	684				hypothetical protein
Shinsuense_03218	gene	363				
Shinsuense_03218	CDS	363				hypothetical protein
Shinsuense_03219	gene	213				
Shinsuense_03219	CDS	213				hypothetical protein
Shinsuense_03220	gene	1284				
Shinsuense_03220	CDS	1284				hypothetical protein
Shinsuense_03221	gene	960	alc			
Shinsuense_03221	CDS	960	alc	3.5.3.4		allantoicase
Shinsuense_03222	gene	912				
Shinsuense_03222	CDS	912				hypothetical protein
Shinsuense_03223	gene	1557	pucI			
Shinsuense_03223	CDS	1557	pucI		COG1953	putative allantoin permease
Shinsuense_03224	gene	1542				
Shinsuense_03224	CDS	1542				hypothetical protein
Shinsuense_03225	gene	897				
Shinsuense_03225	CDS	897				hypothetical protein
Shinsuense_03226	gene	1335				
Shinsuense_03226	CDS	1335				hypothetical protein
Shinsuense_03227	gene	840	sapM			
Shinsuense_03227	CDS	840	sapM	3.1.3.64		Phosphatidylinositol-3-phosphatase
Shinsuense_03228	gene	624	upp			
Shinsuense_03228	CDS	624	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
Shinsuense_03229	gene	1581				
Shinsuense_03229	CDS	1581		5.4.2.8	COG1109	putative phosphomannomutase
Shinsuense_03230	gene	822	punA			
Shinsuense_03230	CDS	822	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase
Shinsuense_03231	gene	1182				
Shinsuense_03231	CDS	1182		3.5.1.47		N-acetyldiaminopimelate deacetylase
Shinsuense_03232	gene	1170	scmP			
Shinsuense_03232	CDS	1170	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
Shinsuense_03233	gene	888				
Shinsuense_03233	CDS	888				hypothetical protein
Shinsuense_03234	gene	480				
Shinsuense_03234	CDS	480				hypothetical protein
Shinsuense_03235	gene	1413	lpdA			
Shinsuense_03235	CDS	1413	lpdA	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
Shinsuense_03236	gene	1758	glpD2			
Shinsuense_03236	CDS	1758	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
Shinsuense_03237	gene	183				
Shinsuense_03237	CDS	183				hypothetical protein
Shinsuense_03238	gene	1545				
Shinsuense_03238	CDS	1545				hypothetical protein
Shinsuense_03239	gene	345				
Shinsuense_03239	CDS	345				hypothetical protein
Shinsuense_03240	gene	255				
Shinsuense_03240	CDS	255				hypothetical protein
Shinsuense_03241	gene	4476	ctpI_3			
Shinsuense_03241	CDS	4476	ctpI_3	3.6.3.-	COG0474	putative cation-transporting ATPase I
Shinsuense_03242	gene	666	phoU1			
Shinsuense_03242	CDS	666	phoU1		COG0704	Phosphate-specific transport system accessory protein PhoU 
Shinsuense_03243	gene	261				
Shinsuense_03243	CDS	261				hypothetical protein
Shinsuense_03244	gene	729				
Shinsuense_03244	CDS	729				hypothetical protein
Shinsuense_03245	gene	753				
Shinsuense_03245	CDS	753				hypothetical protein
Shinsuense_03246	gene	2904				
Shinsuense_03246	CDS	2904				hypothetical protein
Shinsuense_03247	gene	321				
Shinsuense_03247	CDS	321				hypothetical protein
Shinsuense_03248	gene	1113	pstS3_3			
Shinsuense_03248	CDS	1113	pstS3_3		COG0226	Phosphate-binding protein PstS 3
Shinsuense_03249	gene	1131				
Shinsuense_03249	CDS	1131				putative PPE family protein PPE51
Shinsuense_03250	gene	918				
Shinsuense_03250	CDS	918				hypothetical protein
Shinsuense_03251	gene	765	nei			
Shinsuense_03251	CDS	765	nei	3.2.2.-	COG0266	Endonuclease 8
Shinsuense_03252	gene	1692				
Shinsuense_03252	CDS	1692				hypothetical protein
Shinsuense_03253	gene	2928	deaD_2			
Shinsuense_03253	CDS	2928	deaD_2	3.6.4.13		ATP-dependent RNA helicase DeaD
Shinsuense_03254	gene	693				
Shinsuense_03254	CDS	693				hypothetical protein
Shinsuense_03255	gene	1596	gabD			
Shinsuense_03255	CDS	1596	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
Shinsuense_03256	gene	1272				
Shinsuense_03256	CDS	1272			COG5383	putative protein
Shinsuense_03257	gene	453	lrp_1			
Shinsuense_03257	CDS	453	lrp_1		COG1522	Leucine-responsive regulatory protein
Shinsuense_03258	gene	1350	lat			
Shinsuense_03258	CDS	1350	lat	2.6.1.36	COG0160	putative L-lysine-epsilon aminotransferase
Shinsuense_03259	gene	378				
Shinsuense_03259	CDS	378				hypothetical protein
Shinsuense_03260	gene	312				
Shinsuense_03260	CDS	312				hypothetical protein
Shinsuense_03261	gene	438	rsbW_2			
Shinsuense_03261	CDS	438	rsbW_2		COG2172	Anti-sigma-F factor RsbW
Shinsuense_03262	gene	789	sigF			
Shinsuense_03262	CDS	789	sigF		COG1191	RNA polymerase sigma factor SigF
Shinsuense_03263	gene	570				
Shinsuense_03263	CDS	570				hypothetical protein
Shinsuense_03264	gene	2292	menE_6			
Shinsuense_03264	CDS	2292	menE_6	6.2.1.26		2-succinylbenzoate--CoA ligase
Shinsuense_03265	gene	7206	lgrB_2			
Shinsuense_03265	CDS	7206	lgrB_2			Linear gramicidin synthase subunit B
Shinsuense_03266	gene	1794	carB_1			
Shinsuense_03266	CDS	1794	carB_1			Carbamoyl-phosphate synthase large chain
Shinsuense_03267	gene	420				
Shinsuense_03267	CDS	420			COG2166	putative SufE-like protein
Shinsuense_03268	gene	906	sseA			
Shinsuense_03268	CDS	906	sseA	2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase SseA
Shinsuense_03269	gene	651				
Shinsuense_03269	CDS	651		3.6.1.9	COG0424	Nucleoside triphosphate pyrophosphatase
Shinsuense_03270	gene	321				
Shinsuense_03270	CDS	321				hypothetical protein
Shinsuense_03271	gene	1641	accD5_3			
Shinsuense_03271	CDS	1641	accD5_3	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 5
Shinsuense_03272	gene	831	birA			
Shinsuense_03272	CDS	831	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
Shinsuense_03273	gene	519				
Shinsuense_03273	CDS	519				hypothetical protein
Shinsuense_03274	gene	684				
Shinsuense_03274	CDS	684				hypothetical protein
Shinsuense_03275	gene	1275	purK			
Shinsuense_03275	CDS	1275	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
Shinsuense_03276	gene	516	purE			
Shinsuense_03276	CDS	516	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
Shinsuense_03277	gene	1170				
Shinsuense_03277	CDS	1170		1.3.99.-	COG1960	putative acyl-CoA dehydrogenase fadE25
Shinsuense_03278	gene	1167	rssB			
Shinsuense_03278	CDS	1167	rssB			Regulator of RpoS
Shinsuense_03279	gene	1623	sasA_2			
Shinsuense_03279	CDS	1623	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
Shinsuense_03280	gene	441	rcp1			
Shinsuense_03280	CDS	441	rcp1			Response regulator rcp1
Shinsuense_03281	gene	2247				
Shinsuense_03281	CDS	2247				hypothetical protein
Shinsuense_03282	gene	1188				
Shinsuense_03282	CDS	1188		2.8.3.-	COG1804	putative fatty acyl-CoA transferase
Shinsuense_03283	gene	657				
Shinsuense_03283	CDS	657				hypothetical protein
Shinsuense_03284	gene	459				
Shinsuense_03284	CDS	459				hypothetical protein
Shinsuense_03285	gene	1182				
Shinsuense_03285	CDS	1182				hypothetical protein
Shinsuense_03286	gene	720				
Shinsuense_03286	CDS	720				hypothetical protein
Shinsuense_03287	gene	2199	ctpC			
Shinsuense_03287	CDS	2199	ctpC	3.6.3.-	COG2217	Manganese-exporting P-type ATPase
Shinsuense_03288	gene	279				
Shinsuense_03288	CDS	279				putative protein
Shinsuense_03289	gene	723				
Shinsuense_03289	CDS	723				hypothetical protein
Shinsuense_03290	gene	1458	lcpA_3			
Shinsuense_03290	CDS	1458	lcpA_3		COG1316	Cell wall biosynthesis protein LcpA
Shinsuense_03291	gene	927	rmlD			
Shinsuense_03291	CDS	927	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
Shinsuense_03292	gene	885	wbbL			
Shinsuense_03292	CDS	885	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
Shinsuense_03293	gene	1077	cugP			
Shinsuense_03293	CDS	1077	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
Shinsuense_03294	gene	549				
Shinsuense_03294	CDS	549				hypothetical protein
Shinsuense_03295	gene	1587				
Shinsuense_03295	CDS	1587		2.1.1.72		Modification methylase Eco57IB
Shinsuense_03296	gene	1365	fbiB_2			
Shinsuense_03296	CDS	1365	fbiB_2		COG0778	Bifunctional F420 biosynthesis protein FbiB
Shinsuense_03297	gene	990	fbiA			
Shinsuense_03297	CDS	990	fbiA	2.7.8.28	COG0391	Phosphoenolpyruvate transferase
Shinsuense_03298	gene	531				
Shinsuense_03298	CDS	531				hypothetical protein
Shinsuense_03299	gene	1401	algC			
Shinsuense_03299	CDS	1401	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
Shinsuense_03300	gene	1110				
Shinsuense_03300	CDS	1110				hypothetical protein
Shinsuense_03301	gene	1227	manA			
Shinsuense_03301	CDS	1227	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
Shinsuense_03302	gene	879				
Shinsuense_03302	CDS	879				putative protein
Shinsuense_03303	gene	588				
Shinsuense_03303	CDS	588				putative protein
Shinsuense_03304	gene	1395				
Shinsuense_03304	CDS	1395				putative protein
Shinsuense_03305	gene	1485	yhdG_3			
Shinsuense_03305	CDS	1485	yhdG_3		COG0531	putative amino acid permease YhdG
Shinsuense_03306	gene	1251	alkB_1			
Shinsuense_03306	CDS	1251	alkB_1	1.14.15.3		Alkane 1-monooxygenase
Shinsuense_03307	gene	171	alkF_1			
Shinsuense_03307	CDS	171	alkF_1			Rubredoxin-1
Shinsuense_03308	gene	183	rubA_1			
Shinsuense_03308	CDS	183	rubA_1		COG1773	Rubredoxin
Shinsuense_03309	gene	651				
Shinsuense_03309	CDS	651				hypothetical protein
Shinsuense_03310	gene	1479	ahcY			
Shinsuense_03310	CDS	1479	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
Shinsuense_03311	gene	1698				
Shinsuense_03311	CDS	1698				hypothetical protein
Shinsuense_03312	gene	990				
Shinsuense_03312	CDS	990				PPE family protein PPE34
Shinsuense_03313	gene	792				
Shinsuense_03313	CDS	792				putative PPE family protein PPE40
Shinsuense_03314	gene	654	tmk			
Shinsuense_03314	CDS	654	tmk	2.7.4.9	COG0125	Thymidylate kinase
Shinsuense_03315	gene	687	mtrA			
Shinsuense_03315	CDS	687	mtrA		COG0745	DNA-binding response regulator MtrA
Shinsuense_03316	gene	1680	mtrB			
Shinsuense_03316	CDS	1680	mtrB	2.7.13.3		Sensor histidine kinase MtrB
Shinsuense_03317	gene	1779	lpqB			
Shinsuense_03317	CDS	1779	lpqB			Lipoprotein LpqB
Shinsuense_03318	gene	831				
Shinsuense_03318	CDS	831				hypothetical protein
Shinsuense_03319	gene	636	pyrE_2			
Shinsuense_03319	CDS	636	pyrE_2	2.4.2.10		Orotate phosphoribosyltransferase
Shinsuense_03320	gene	690	hpf			
Shinsuense_03320	CDS	690	hpf		COG1544	Ribosome hibernation promotion factor
Shinsuense_03321	gene	2853	secA1			
Shinsuense_03321	CDS	2853	secA1		COG0653	Protein translocase subunit SecA 1
Shinsuense_03322	gene	615	mdtD_10			
Shinsuense_03322	CDS	615	mdtD_10			Putative multidrug resistance protein MdtD
Shinsuense_03323	gene	2613				
Shinsuense_03323	CDS	2613				hypothetical protein
Shinsuense_03324	gene	648				
Shinsuense_03324	CDS	648				hypothetical protein
Shinsuense_03325	gene	483	khtT			
Shinsuense_03325	CDS	483	khtT		COG0490	K(+)/H(+) antiporter subunit KhtT
Shinsuense_03326	gene	1146	khtU			
Shinsuense_03326	CDS	1146	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
Shinsuense_03327	gene	348				
Shinsuense_03327	CDS	348				hypothetical protein
Shinsuense_03328	gene	1419				
Shinsuense_03328	CDS	1419				hypothetical protein
Shinsuense_03329	gene	873	ppk2			
Shinsuense_03329	CDS	873	ppk2	2.7.4.-	COG2326	Polyphosphate:GDP phosphotransferase
Shinsuense_03330	gene	501				
Shinsuense_03330	CDS	501				hypothetical protein
Shinsuense_03331	gene	1155				
Shinsuense_03331	CDS	1155		1.-.-.-	COG1018	NADPH oxidoreductase
Shinsuense_03332	gene	1287	desA3_2			
Shinsuense_03332	CDS	1287	desA3_2	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
Shinsuense_03333	gene	1182	fadA_4			
Shinsuense_03333	CDS	1182	fadA_4	2.3.1.-	COG0183	Putative acyltransferase
Shinsuense_03334	gene	474				
Shinsuense_03334	CDS	474				hypothetical protein
Shinsuense_03335	gene	993	rsgA			
Shinsuense_03335	CDS	993	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
Shinsuense_03336	gene	1296	aroA			
Shinsuense_03336	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
Shinsuense_03337	gene	783	yedK			
Shinsuense_03337	CDS	783	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
Shinsuense_03338	gene	885	hbd			
Shinsuense_03338	CDS	885	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
Shinsuense_03339	gene	972				
Shinsuense_03339	CDS	972				hypothetical protein
Shinsuense_03340	gene	336				
Shinsuense_03340	CDS	336				hypothetical protein
Shinsuense_03341	gene	177				
Shinsuense_03341	CDS	177				hypothetical protein
Shinsuense_03342	gene	2730				
Shinsuense_03342	CDS	2730				hypothetical protein
Shinsuense_03343	gene	243				
Shinsuense_03343	CDS	243				hypothetical protein
Shinsuense_03344	gene	1089				
Shinsuense_03344	CDS	1089				hypothetical protein
Shinsuense_03345	gene	315				
Shinsuense_03345	CDS	315				hypothetical protein
Shinsuense_03346	gene	384				
Shinsuense_03346	CDS	384				hypothetical protein
Shinsuense_03347	gene	288	espH_2			
Shinsuense_03347	CDS	288	espH_2			ESX-1 secretion-associated protein EspH
Shinsuense_03348	gene	597				
Shinsuense_03348	CDS	597				hypothetical protein
Shinsuense_03349	gene	1521	espB_2			
